24.2,246.3
25.0,247.2
25.8,248.1
26.4,248.8
27.0,249.5
29.4,250.9
32.2,252.5
33.1,253.5
32.8,254.1
12.9,257.1
14.7,256.5
15.9,255.8
16.5,254.8
17.0,254.0
17.4,253.8
17.9,253.7
18.5,253.7
19.1,253.7
19.8,253.7
20.5,253.7
16.0,247.4
16.7,248.1
17.5,249.0
18.5,250.0
19.7,251.0
21.1,252.0
22.6,253.0
24.3,253.6
26.3,253.8
11.7,197.5
12.4,197.7
13.0,198.2
13.7,198.5
14.4,198.7
14.9,198.8
15.5,199.1
16.2,199.2
16.7,199.3
17.4,199.4
18.0,199.5
18.6,199.3
19.2,199.2
20.4,199.0
21.4,198.6
21.7,197.3
21.4,196.4
21.3,196.1
21.2,195.6
21.0,195.3
21.0,194.8
20.8,193.9
20.7,192.9
20.5,191.9
20.5,191.0
20.5,190.0
20.5,189.0
20.4,187.8
20.0,187.0
18.9,186.7
17.7,186.7
11.7,253.1
12.8,251.8
13.7,250.4
14.3,249.0
14.7,247.6
14.9,246.5
15.2,245.4
15.6,244.3
15.9,243.3
16.1,242.7
16.3,242.1
16.6,241.5
17.1,241.0
17.7,240.6
18.3,240.3
15.1,261.9
15.6,261.4
16.0,260.8
16.5,260.0
17.0,259.2
17.5,258.8
18.2,258.7
15.1,250.3
15.2,249.2
15.4,248.2
15.6,247.2
15.8,246.3
16.3,245.3
16.8,244.3
17.2,243.6
17.6,242.9
17.8,242.0
17.9,241.1
18.0,240.1
18.0,239.2
18.0,238.3
17.9,237.4
17.8,236.6
17.7,235.9
17.5,235.0
17.3,234.0
17.1,233.0
17.0,232.1
16.9,231.3
16.7,230.6
16.5,229.9
16.3,229.1
11.7,263.7
11.7,263.3
11.8,263.0
11.9,262.7
12.1,262.3
12.4,261.8
12.8,261.2
13.0,260.7
13.2,260.1
13.5,259.4
13.9,258.7
14.0,257.9
14.2,257.2
14.6,256.6
15.0,256.0
15.5,255.5
16.0,255.0
16.6,254.0
16.9,252.9
16.9,251.0
16.8,249.0
16.7,247.5
16.7,245.9
16.8,244.6
17.1,243.4
17.4,242.1
17.8,240.8
18.3,239.3
18.7,237.7
18.9,236.3
19.0,234.9
22.0,247.9
22.5,246.8
22.9,245.7
23.1,244.7
23.4,243.7
23.7,242.5
24.1,241.2
24.5,240.0
25.0,238.7
25.5,237.6
26.3,236.6
27.5,235.6
28.9,235.1
30.4,235.2
32.0,235.5
33.7,235.5
35.5,235.5
13.7,248.3
14.2,247.0
14.6,245.7
14.7,244.7
14.8,243.7
14.8,242.6
14.8,241.5
14.9,240.2
15.1,239.0
15.5,237.5
16.1,236.1
16.8,234.9
17.5,233.8
18.1,232.9
18.8,232.0
19.6,231.1
20.4,230.2
21.2,229.2
22.1,228.3
23.0,227.5
24.0,227.0
25.0,226.7
26.0,226.5
27.0,226.3
28.0,226.3
28.9,226.5
29.8,226.7
30.3,226.9
30.9,227.0
31.2,226.8
31.3,226.3
31.2,225.8
30.9,225.3
30.5,224.6
30.1,223.9
29.5,222.8
29.0,221.7
28.6,220.8
28.5,220.0
28.7,219.6
29.1,219.4
17.0,251.6
18.0,251.2
18.9,250.9
19.8,250.8
20.6,250.7
21.3,250.5
22.0,250.0
22.7,249.1
23.3,248.2
23.7,247.5
24.1,246.9
24.6,246.3
25.0,245.8
25.2,245.3
25.3,245.0
25.6,244.8
26.0,244.5
26.3,244.3
26.6,244.0
27.0,243.7
27.5,243.4
27.8,243.3
28.2,243.2
28.6,243.1
29.0,243.0
29.8,242.9
30.2,242.9
30.9,243.3
31.5,243.8
32.0,244.2
32.5,244.5
16.2,248.2
16.3,247.6
16.4,247.1
16.7,246.5
16.9,245.9
17.1,245.5
17.2,245.0
17.3,244.5
17.5,244.0
17.7,243.6
17.9,243.1
18.0,242.5
18.1,241.8
18.2,241.3
18.3,240.8
18.4,240.2
18.6,239.7
18.8,238.9
19.0,238.1
19.2,237.2
19.3,236.3
19.3,235.2
19.2,234.0
19.4,232.8
19.7,231.6
20.1,230.2
20.6,228.9
21.2,227.6
21.8,226.3
22.4,225.1
23.0,224.0
12.0,248.1
12.1,246.9
12.1,245.8
12.1,244.7
12.2,243.6
12.4,242.3
12.7,241.0
12.8,239.9
12.9,238.8
13.1,237.9
13.4,237.0
13.7,236.4
13.9,235.8
14.1,235.3
14.3,234.8
14.5,234.4
14.8,234.0
15.1,233.6
15.5,233.1
15.9,232.7
16.4,232.4
16.9,231.9
17.4,231.4
17.8,231.1
18.1,230.7
18.5,230.3
19.0,229.8
19.5,229.3
20.0,228.7
20.2,228.3
20.4,227.9
20.7,227.4
21.0,226.9
21.2,226.5
21.4,226.0
21.7,225.5
22.0,225.0
19.0,250.2
19.3,250.0
19.7,249.9
20.1,249.9
20.6,250.0
21.3,250.3
21.9,250.8
22.3,251.4
22.5,252.0
22.7,252.6
22.9,253.2
23.1,253.9
23.4,254.8
12.3,252.0
12.3,252.2
12.3,252.4
12.3,252.5
12.4,252.6
12.5,252.7
12.6,252.7
12.7,252.7
12.9,252.6
13.0,252.6
13.2,252.5
13.3,252.5
13.4,252.5
13.5,252.5
13.6,252.4
13.7,252.4
13.8,252.4
13.9,252.4
14.0,252.5
14.3,252.5
14.7,252.5
15.3,252.8
15.8,253.3
16.2,253.8
16.7,254.3
17.3,254.5
17.9,254.8
18.4,255.5
19.0,256.4
19.6,257.3
20.2,258.3
18.8,251.0
19.2,250.5
19.6,249.9
20.2,248.8
20.7,247.7
21.3,246.4
21.8,245.0
22.1,243.9
22.3,242.8
22.4,242.2
22.4,241.7
22.3,241.3
22.2,240.9
22.1,240.2
15.2,240.2
15.1,240.0
15.0,239.8
14.9,239.7
14.7,239.5
14.3,239.3
13.8,239.2
13.5,239.5
13.3,239.6
13.6,238.3
14.1,237.1
14.3,236.2
14.4,235.3
14.5,234.1
14.5,232.9
14.6,231.6
14.7,230.3
15.1,228.5
15.5,226.7
15.7,225.8
15.8,224.8
15.7,223.6
15.4,222.5
15.0,221.7
14.6,221.0
14.2,220.3
13.8,219.6
13.6,218.6
13.5,217.4
13.3,216.1
13.1,214.9
13.1,213.8
13.1,212.6
13.0,211.3
12.8,210.0
12.7,208.8
12.6,207.6
12.6,206.2
12.7,204.8
13.0,203.6
13.3,202.6
13.4,201.9
13.6,201.2
13.9,200.4
14.3,199.6
14.6,198.7
14.8,197.8
15.1,197.0
15.4,196.2
15.6,195.2
15.8,194.1
15.9,193.1
16.1,192.2
16.3,191.7
16.7,191.3
17.2,190.8
17.8,190.3
18.5,189.8
19.1,189.4
19.7,188.8
20.3,188.2
20.9,187.7
21.4,187.4
21.7,187.2
21.9,187.0
10.4,244.4
10.8,243.4
11.1,242.3
11.4,241.0
11.8,239.6
12.2,238.2
12.6,236.8
13.1,235.8
13.6,234.9
13.8,234.4
14.0,233.8
15.0,232.5
16.1,231.2
16.7,230.5
17.2,229.8
17.7,229.0
18.1,228.1
18.5,227.2
18.7,226.2
18.8,224.6
18.7,222.9
18.6,221.6
18.5,220.2
18.4,218.5
18.4,216.7
18.5,214.8
18.5,212.9
18.4,211.9
18.3,211.0
18.1,209.5
18.2,208.1
18.7,207.5
19.4,207.0
19.8,206.4
20.2,205.8
20.5,205.4
20.7,205.2
9.6,249.6
10.2,249.4
10.6,248.8
11.2,247.3
11.9,245.8
12.2,244.4
12.6,243.1
14.0,242.0
15.2,241.2
15.5,240.6
15.7,239.9
16.0,239.2
16.4,238.6
16.5,238.5
16.6,238.4
16.7,238.3
16.8,238.1
17.1,237.8
17.7,237.4
18.3,237.0
18.9,236.7
19.5,236.3
20.0,235.9
21.0,234.8
21.9,233.7
22.6,232.8
23.4,231.8
24.3,230.5
25.1,229.2
25.9,228.0
26.7,226.8
10.9,255.6
11.2,255.2
11.3,254.7
11.6,253.5
11.9,252.2
12.3,251.2
12.7,250.3
13.0,249.7
13.2,249.2
13.5,248.3
13.8,247.4
14.7,245.9
15.7,244.4
16.1,243.1
16.6,241.8
17.1,240.6
17.5,239.5
17.7,238.2
17.7,236.7
17.8,234.9
18.0,233.2
18.3,231.2
18.6,229.2
19.1,227.2
19.6,225.2
19.8,223.9
19.9,222.5
19.8,221.0
19.8,219.6
19.9,218.1
20.1,216.7
20.5,215.2
20.8,213.7
21.0,212.7
21.2,211.9
21.4,211.2
21.5,210.4
21.5,209.7
21.4,208.9
21.6,208.1
21.9,207.3
22.3,206.7
22.8,206.2
23.2,205.9
23.7,205.6
24.1,205.0
24.3,204.7
24.5,204.0
25.7,203.7
10.0,262.2
10.0,261.1
10.2,259.9
10.4,258.6
10.9,257.4
11.4,256.7
12.1,256.1
12.8,255.2
13.6,254.3
14.4,253.8
15.1,253.4
15.8,253.1
16.4,252.8
16.6,252.5
16.7,252.2
17.0,251.8
17.3,251.4
17.7,251.0
18.0,250.5
18.2,250.0
18.3,249.4
